#{"t_start": 1544904964.6103747, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,15,15.909377
0.0,12,15.936318
0.0,37,15.990134
0.0,16,16.002742
0.0,27,16.039042
0.0,10,16.046812
0.0,23,16.085206
0.0,10,16.102229
0.0,13,16.123322
0.0,28,16.153988
0.0,41,16.206304
0.0,53,16.275393
0.0,66,16.368593
0.0,9,16.375277
0.0,41,16.435671
0.0,23,16.465318
0.0,18,16.478827
0.0,29,16.519983
0.0,7,16.525954
0.0,18,16.550889
0.0,19,16.580955
0.0,25,16.612096
0.0,24,16.653905
0.0,26,16.69343
0.0,14,16.723393
0.0,36,16.767241
0.0,29,16.817902
0.0,47,16.879245
0.0,38,16.927147
0.0,20,16.966127
0.0,103,17.118676
0.0,7,17.145441
0.0,62,17.243406
0.0,27,17.274207
0.0,45,17.341585
0.0,14,17.366682
0.0,16,17.398953
0.0,66,17.47732
0.0,29,17.5227
0.0,12,17.535202
0.0,52,17.616985
0.0,30,17.650822
0.0,71,17.764703
0.0,15,17.787651
0.0,75,17.886718
0.0,16,17.918521
0.0,97,18.070959
0.0,23,18.106093
0.0,26,18.128808
0.0,10,18.147729
0.0,11,18.156639
0.0,43,18.222069
0.0,18,18.236062
0.0,6,18.249302
0.0,29,18.292155
0.0,25,18.325961
0.0,25,18.382706
0.0,45,18.442186
0.0,12,18.458529
0.0,17,18.471771
0.0,22,18.518096
0.0,12,18.526751
0.0,10,18.55407
0.0,84,18.696937
0.0,115,18.858567
0.0,26,18.889022
0.0,36,18.932814
0.0,8,18.9398
0.0,34,18.993756
0.0,8,19.000117
0.0,12,19.025478
0.0,32,19.063745
0.0,30,19.116336
0.0,40,19.174169
0.0,26,19.204906
0.0,38,19.268322
0.0,14,19.294318
0.0,17,19.322021
0.0,19,19.342518
0.0,13,19.352638
0.0,14,19.372822
0.0,18,19.39379
0.0,28,19.426625
0.0,27,19.475464
0.0,15,19.487769
0.0,100,19.627508
0.0,51,19.699818
0.0,7,19.705863
0.0,41,19.770176
0.0,17,19.788244
0.0,35,19.856705
0.0,90,19.971162
0.0,15,19.99215
0.0,17,20.014672
0.0,25,20.045424
0.0,18,20.067917
0.0,16,20.089542
0.0,10,20.096312
0.0,32,20.137346
0.0,12,20.159554
0.0,45,20.244145
0.0,30,20.283125
0.0,56,20.370885
0.0,200,20.676959
0.0,6,20.681928
0.0,41,20.742906
0.0,35,20.783029
0.0,7,20.804747
0.0,16,20.816745
0.0,30,20.856637
0.0,46,20.925931
0.0,29,20.969806
0.0,45,21.020898
0.0,7,21.027444
0.0,44,21.10006
0.0,20,21.132759
0.0,33,21.184538
0.0,47,21.256868
0.0,54,21.336716
0.0,12,21.364434
0.0,30,21.398349
0.0,23,21.420229
0.0,33,21.464772
0.0,16,21.490991
0.0,44,21.55266
0.0,66,21.651049
0.0,31,21.720272
0.0,53,21.800324
0.0,69,21.891779
0.0,10,21.918313
0.0,22,21.947173
0.0,27,21.988522
0.0,23,22.029106
0.0,9,22.053216
0.0,25,22.085356
0.0,12,22.095346
0.0,19,22.126913
0.0,33,22.181891
0.0,8,22.18782
0.0,26,22.256734
0.0,25,22.28887
0.0,19,22.318139
0.0,8,22.324914
0.0,39,22.385483
0.0,28,22.427486
0.0,16,22.439864
0.0,7,22.465351
0.0,46,22.517721
0.0,11,22.537593
0.0,9,22.54388
0.0,59,22.64771
0.0,29,22.694038
0.0,27,22.724758
0.0,83,22.835431
0.0,32,22.885662
0.0,84,22.991774
0.0,17,23.016693
0.0,17,23.045929
0.0,11,23.05419
0.0,23,23.101398
0.0,24,23.136157
0.0,12,23.156448
0.0,68,23.235681
0.0,25,23.267982
0.0,46,23.340851
0.0,20,23.371733
0.0,15,23.393065
0.0,15,23.404995
0.0,82,23.55288
0.0,90,23.690127
0.0,19,23.712333
0.0,35,23.776462
0.0,36,23.836491
0.0,54,23.887983
0.0,14,23.909941
0.0,10,23.916499
0.0,19,23.952466
0.0,43,24.034732
0.0,36,24.079721
0.0,83,24.218899
1.0,29,24.247199
0.0,10,24.255313
0.0,16,24.28205
0.0,15,24.306151
0.0,11,24.327525
0.0,21,24.355475
0.0,79,24.456789
0.0,30,24.498677
0.0,61,24.583306
0.0,114,24.7413
0.0,18,24.764299
0.0,19,24.787553
0.0,36,24.826662
0.0,35,24.880446
0.0,5,24.883963
0.0,36,24.937333
0.0,18,24.964624
0.0,27,25.01028
0.0,96,25.144262
0.0,52,25.21763
0.0,25,25.263303
0.0,94,25.39
0.0,7,25.395093
0.0,13,25.416345
0.0,36,25.466747
0.0,48,25.529417
0.0,25,25.555818
0.0,21,25.594699
0.0,32,25.643542
0.0,34,25.701636
0.0,122,25.882409
0.0,35,25.941608
0.0,58,26.029806
0.0,11,26.05834
0.0,8,26.063657
0.0,28,26.111114
0.0,35,26.151569
0.0,100,26.302979
0.0,24,26.337913
0.0,40,26.407317
0.0,23,26.447765
0.0,32,26.485534
1.0,77,26.613714
0.0,37,26.670268
0.0,17,26.692226
0.0,16,26.718398
0.0,21,26.742662
0.0,19,26.776146
0.0,12,26.785923
0.0,6,26.807304
0.0,39,26.854343
0.0,24,26.879056
0.0,14,26.90892
0.0,33,26.946582
0.0,31,27.002331
0.0,38,27.06199
0.0,12,27.073074
0.0,34,27.144066
0.0,46,27.197072
0.0,33,27.248091
0.0,22,27.277451
0.0,76,27.392204
0.0,20,27.420757
0.0,26,27.454925
0.0,47,27.525406
0.0,14,27.543532
0.0,41,27.605991
0.0,10,27.631339
0.0,24,27.670268
0.0,26,27.702642
0.0,35,27.753701
0.0,26,27.778674
0.0,7,27.796642
0.0,30,27.837372
0.0,26,27.870255
0.0,39,27.914045
0.0,13,27.939085
0.0,56,28.018597
0.0,8,28.025218
0.0,66,28.128067
0.0,25,28.169437
0.0,46,28.237434
0.0,73,28.338209
0.0,110,28.478443
0.0,12,28.508016
0.0,60,28.582642
0.0,16,28.604131
0.0,17,28.616048
0.0,21,28.65759
0.0,13,28.66783
0.0,20,28.699687
0.0,32,28.744233
0.0,10,28.752228
0.0,8,28.762403
0.0,35,28.804545
0.0,18,28.835144
0.0,11,28.858934
0.0,34,28.910529
0.0,102,29.066945
0.0,12,29.076539
0.0,57,29.154867
0.0,15,29.175457
0.0,39,29.23259
0.0,20,29.253316
0.0,90,29.369156
0.0,15,29.401965
0.0,23,29.431032
0.0,22,29.470184
0.0,38,29.538874
0.0,34,29.587324
0.0,17,29.626285
0.0,26,29.662004
0.0,25,29.691539
0.0,81,29.803998
0.0,27,29.84298
0.0,41,29.900506
0.0,42,29.963763
0.0,14,29.980944
0.0,31,30.018252
0.0,120,30.191122
0.0,6,30.195774
0.0,58,30.289386
0.0,38,30.345101
0.0,20,30.379018
0.0,37,30.425879
0.0,42,30.479115
0.0,19,30.51235
0.0,23,30.544866
0.0,16,30.56494
0.0,29,30.616173
0.0,29,30.648825
0.0,16,30.675326
0.0,16,30.700595
0.0,31,30.735676
0.0,48,30.792955
0.0,13,30.802064
0.0,20,30.820019
0.0,9,30.831289
0.0,62,30.919054
0.0,44,30.992837
0.0,30,31.027807
0.0,43,31.111005
0.0,16,31.12236
0.0,9,31.140933
0.0,94,31.255723
0.0,23,31.283225
0.0,33,31.318991
0.0,13,31.333863
0.0,27,31.374879
0.0,25,31.42919
0.0,28,31.463585
0.0,20,31.501537
0.0,28,31.531339
0.0,8,31.555812
0.0,18,31.584149
0.0,38,31.64391
0.0,15,31.655938
0.0,15,31.674427
0.0,28,31.710971
0.0,16,31.73122
0.0,13,31.756289
0.0,82,31.872949
0.0,12,31.89092
0.0,19,31.917094
0.0,16,31.927855
0.0,29,31.978268
0.0,29,32.008141
0.0,17,32.032769
0.0,13,32.062433
0.0,32,32.096127
0.0,17,32.124357
0.0,10,32.140092
0.0,23,32.167222
0.0,12,32.17951
0.0,12,32.208532
0.0,9,32.232227
0.0,6,32.236418
0.0,18,32.265403
0.0,114,32.423077
0.0,19,32.445677
0.0,12,32.472299
0.0,40,32.526091
0.0,10,32.533036
0.0,13,32.553681
0.0,19,32.581516
0.0,12,32.599555
0.0,8,32.604681
0.0,40,32.655406
0.0,9,32.677261
0.0,13,32.686019
0.0,23,32.710236
0.0,24,32.755036
0.0,27,32.798992
0.0,15,32.834795
0.0,14,32.844463
0.0,15,32.868747
0.0,41,32.917069
0.0,39,32.961627
0.0,9,32.979349
0.0,27,33.009474
0.0,12,33.017883
0.0,21,33.049067
0.0,27,33.083905
0.0,14,33.105816
0.0,11,33.113806
0.0,51,33.18739
0.0,15,33.200472
0.0,15,33.227404
0.0,31,33.285987
0.0,22,33.320627
0.0,15,33.346124
0.0,8,33.352431
0.0,60,33.441051
0.0,6,33.446188
0.0,9,33.466806
0.0,32,33.500521
0.0,31,33.558859
0.0,27,33.603914
0.0,30,33.652923
0.0,7,33.658888
0.0,38,33.714205
0.0,127,33.886203
0.0,24,33.921643
0.0,6,33.934714
0.0,37,33.98924
0.0,21,34.009627
0.0,39,34.059025
0.0,13,34.068369
0.0,31,34.121902
0.0,44,34.18958
0.0,30,34.241226
0.0,20,34.268012
0.0,36,34.311668
0.0,19,34.336241
0.0,17,34.353613
0.0,20,34.392465
0.0,73,34.492637
0.0,19,34.512003
0.0,31,34.550696
0.0,13,34.56819
0.0,17,34.593513
0.0,32,34.629055
0.0,32,34.673201
0.0,13,34.699544
0.0,5,34.703005
0.0,109,34.827307
0.0,10,34.841864
0.0,15,34.873993
0.0,29,34.912516
0.0,36,35.00234
0.0,21,35.030647
0.0,131,35.256483
0.0,12,35.287058
0.0,27,35.338738
0.0,30,35.405634
0.0,28,35.456025
0.0,13,35.474143
0.0,15,35.503517
0.0,45,35.565806
0.0,35,35.621686
0.0,18,35.645498
0.0,8,35.651219
0.0,53,35.726429
0.0,46,35.802905
0.0,48,35.870116
0.0,15,35.888739
0.0,21,35.930238
0.0,9,35.947546
0.0,17,35.960994
0.0,28,36.006812
0.0,81,36.134119
0.0,28,36.170051
0.0,26,36.23077
0.0,34,36.277621
0.0,56,36.358069
0.0,128,36.580578
0.0,16,36.592994
0.0,50,36.686034
0.0,17,36.712812
0.0,42,36.761767
0.0,42,36.813239
0.0,30,36.847557
0.0,38,36.904911
0.0,38,36.965776
0.0,14,36.98297
0.0,18,37.010303
0.0,8,37.017959
0.0,68,37.118557
0.0,67,37.228532
0.0,10,37.238844
0.0,51,37.32145
0.0,94,37.462368
0.0,80,37.586993
0.0,22,37.609803
0.0,14,37.619327
0.0,14,37.659053
0.0,26,37.702815
0.0,11,37.74102
0.0,56,37.83355
0.0,58,37.928332
0.0,9,37.937034
0.0,11,37.974078
0.0,15,37.985948
0.0,78,38.075922
0.0,16,38.098131
0.0,12,38.11686
0.0,47,38.20308
0.0,46,38.258469
0.0,19,38.289817
0.0,53,38.398208
0.0,50,38.471429
0.0,7,38.480488
0.0,25,38.518376
0.0,27,38.548352
0.0,23,38.580524
0.0,18,38.605973
0.0,17,38.619401
0.0,20,38.647508
0.0,30,38.70462
0.0,38,38.756965
0.0,58,38.850188
0.0,20,38.872717
0.0,31,38.911711
0.0,197,39.217116
0.0,36,39.276851
0.0,25,39.312268
0.0,32,39.364665
0.0,30,39.404388
0.0,20,39.434424
0.0,115,39.589303
0.0,22,39.616252
0.0,14,39.643638
0.0,63,39.738356
0.0,12,39.768029
0.0,27,39.805703
0.0,19,39.831277
0.0,25,39.867046
0.0,13,39.894503
0.0,11,39.90224
0.0,30,39.947729
0.0,44,40.008078
0.0,31,40.05063
0.0,10,40.05868
0.0,16,40.09021
0.0,25,40.130678
0.0,24,40.159898
0.0,66,40.275923
0.0,18,40.288755
0.0,21,40.335811
0.0,8,40.343787
0.0,25,40.381386
0.0,31,40.429111
0.0,52,40.495636
0.0,12,40.51577
0.0,53,40.600432
0.0,115,40.755789
0.0,32,40.803375
0.0,29,40.83809
0.0,39,40.89362
0.0,9,40.915654
0.0,36,40.981603
0.0,29,41.011469
0.0,31,41.065569
0.0,29,41.108821
0.0,19,41.131553
0.0,110,41.291315
0.0,49,41.366942
0.0,11,41.375594
0.0,15,41.391636
0.0,37,41.443923
0.0,42,41.505708
0.0,15,41.534944
0.0,21,41.571899
0.0,24,41.609914
0.0,25,41.638961
0.0,16,41.662488
0.0,37,41.713713
0.0,27,41.745053
0.0,108,41.917619
0.0,26,41.957825
0.0,14,41.99254
0.0,43,42.04693
0.0,39,42.101213
0.0,12,42.123336
0.0,27,42.154968
0.0,14,42.172074
0.0,7,42.180618
0.0,46,42.270499
0.0,8,42.286912
0.0,12,42.296906
0.0,122,42.483397
0.0,12,42.514905
0.0,31,42.554036
0.0,9,42.571532
0.0,39,42.621345
0.0,46,42.704441
0.0,12,42.72148
0.0,39,42.790853
0.0,5,42.794698
0.0,12,42.813976
0.0,11,42.822003
0.0,5,42.82578
0.0,18,42.855719
0.0,28,42.924943
0.0,43,42.970348
0.0,8,42.975691
0.0,30,43.022647
0.0,21,43.059844
0.0,56,43.146034
0.0,55,43.216821
0.0,28,43.262354
0.0,8,43.267729
0.0,56,43.348528
0.0,34,43.400921
0.0,51,43.45795
0.0,61,43.533802
0.0,86,43.669056
0.0,71,43.76914
0.0,18,43.797613
0.0,10,43.805714
0.0,33,43.849732
0.0,34,43.895002
0.0,13,43.90484
0.0,182,44.147263
0.0,18,44.161291
0.0,17,44.183853
0.0,31,44.234011
0.0,26,44.274361
0.0,31,44.329319
0.0,27,44.359743
0.0,40,44.416142
0.0,6,44.420012
