#{"t_start": 1544913564.4605901, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,10,9.715439
0.0,13,9.724122
0.0,24,9.737162
0.0,21,9.750679
0.0,41,9.775071
0.0,124,9.848574
0.0,6,9.852349
0.0,13,9.860561
0.0,22,9.874454
0.0,79,9.926198
0.0,9,10.062301
0.0,17,10.072254
0.0,21,10.08551
0.0,21,10.097307
0.0,8,10.102215
0.0,23,10.127466
0.0,10,10.133677
0.0,23,10.148097
0.0,19,10.159597
0.0,19,10.171881
0.0,29,10.1894
0.0,27,10.205327
0.0,44,10.237118
0.0,14,10.246521
0.0,17,10.256145
0.0,18,10.266083
0.0,38,10.283157
0.0,22,10.295963
0.0,74,10.344036
0.0,89,10.397012
0.0,11,10.404645
0.0,48,10.432437
0.0,20,10.445615
0.0,9,10.450543
0.0,11,10.456399
0.0,15,10.464419
0.0,23,10.477778
0.0,18,10.489011
0.0,97,10.54478
0.0,11,10.551304
0.0,43,10.576591
0.0,25,10.592485
0.0,27,10.609276
0.0,56,10.639615
0.0,7,10.643826
0.0,11,10.656201
0.0,63,10.837281
0.0,76,10.885965
0.0,69,10.92725
0.0,36,10.945426
0.0,52,10.975031
0.0,47,11.002365
0.0,7,11.005975
0.0,38,11.023879
0.0,26,11.041394
0.0,9,11.045462
0.0,9,11.049416
0.0,107,11.1091
0.0,44,11.133559
0.0,26,11.147897
0.0,30,11.167866
0.0,90,11.219419
0.0,9,11.226115
0.0,15,11.233979
0.0,48,11.262741
0.0,17,11.272947
0.0,62,11.306513
0.0,9,11.311245
0.0,27,11.328893
0.0,36,11.348154
0.0,30,11.370951
0.0,29,11.39027
0.0,51,11.416627
0.0,20,11.427457
0.0,28,11.579883
0.0,30,11.60854
0.0,72,11.650872
0.0,17,11.659586
0.0,20,11.672129
0.0,9,11.677603
0.0,18,11.688547
0.0,80,11.738383
0.0,28,11.750804
0.0,8,11.756659
0.0,83,11.807869
0.0,23,11.826965
0.0,54,11.856675
0.0,94,11.919249
0.0,40,11.945543
0.0,30,11.963173
0.0,63,11.999216
0.0,10,12.004716
0.0,28,12.020343
0.0,20,12.033166
0.0,47,12.060015
0.0,115,12.126403
0.0,68,12.162875
0.0,13,12.170394
0.0,58,12.339919
0.0,71,12.378348
0.0,48,12.403268
0.0,47,12.427057
0.0,9,12.432261
0.0,12,12.43909
0.0,15,12.447801
0.0,13,12.45438
0.0,20,12.465542
0.0,46,12.488038
0.0,18,12.496263
0.0,82,12.549425
0.0,16,12.558848
0.0,27,12.574563
0.0,11,12.580384
0.0,41,12.603147
0.0,12,12.610854
