#{"t_start": 1544865484.3011677, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,7,0.97682
0.0,17,0.983804
0.0,12,0.988487
0.0,41,1.004705
0.0,25,1.018313
0.0,19,1.025943
0.0,23,1.035391
0.0,83,1.072788
0.0,16,1.079352
0.0,26,1.37442
0.0,80,1.409184
0.0,67,1.435911
0.0,17,1.442464
0.0,67,1.47192
0.0,30,1.554745
0.0,25,1.56547
0.0,20,1.574973
0.0,23,1.593498
0.0,15,1.60371
0.0,33,1.620971
0.0,17,1.633996
0.0,85,1.679799
0.0,40,1.747357
0.0,5,1.749359
0.0,30,1.761841
0.0,58,1.785853
0.0,9,1.789866
0.0,77,1.820154
0.0,18,1.827192
0.0,22,1.837643
0.0,19,1.903136
0.0,33,1.916988
0.0,58,1.948547
0.0,27,1.960457
0.0,20,1.968915
0.0,38,1.983683
0.0,37,1.998876
0.0,58,2.085776
0.0,33,2.098559
0.0,37,2.115724
0.0,47,2.138546
0.0,51,2.163433
0.0,48,2.183817
0.0,10,2.187834
0.0,39,2.258318
0.0,110,2.306112
0.0,53,2.329919
0.0,9,2.334721
0.0,35,2.350635
0.0,28,2.416692
0.0,11,2.422259
0.0,9,2.426269
0.0,28,2.439255
0.0,28,2.450575
0.0,47,2.469381
0.0,7,2.472326
0.0,19,2.480026
0.0,19,2.48745
0.0,27,2.497885
0.0,46,2.522901
0.0,27,2.596297
0.0,42,2.615841
0.0,27,2.628377
0.0,49,2.658579
0.0,37,2.676039
0.0,15,2.682825
0.0,16,2.689344
0.0,25,2.699163
0.0,10,2.703095
0.0,44,2.783061
0.0,56,2.813058
0.0,17,2.819957
0.0,48,2.839096
0.0,64,2.86961
0.0,26,2.88237
0.0,30,2.957258
0.0,7,2.960464
0.0,21,2.969372
0.0,10,2.974012
0.0,60,3.005862
0.0,17,3.01303
0.0,36,3.03061
0.0,11,3.036517
0.0,126,3.149537
0.0,11,3.154219
0.0,15,3.162758
0.0,63,3.189264
0.0,34,3.202471
0.0,8,3.205615
0.0,5,3.207914
0.0,18,3.216359
0.0,29,3.232592
0.0,21,3.242792
0.0,18,3.304202
0.0,25,3.314419
0.0,16,3.320552
0.0,9,3.324225
0.0,71,3.353562
0.0,41,3.374826
0.0,29,3.390469
0.0,49,3.410968
0.0,11,3.476378
0.0,38,3.491501
0.0,26,3.501826
0.0,73,3.533911
0.0,37,3.550107
0.0,17,3.557003
0.0,10,3.561498
0.0,10,3.56553
0.0,9,3.569341
0.0,32,3.584425
0.0,36,3.660177
0.0,28,3.675716
0.0,30,3.688293
0.0,19,3.697798
0.0,16,3.704271
0.0,30,3.717103
0.0,11,3.725085
0.0,27,3.740238
0.0,43,3.758288
0.0,18,3.819298
0.0,26,3.830879
0.0,51,3.855067
0.0,44,3.872967
0.0,11,3.87726
0.0,10,3.88119
0.0,12,3.886472
0.0,9,3.891708
0.0,14,3.897507
0.0,16,3.903702
0.0,23,3.912498
0.0,20,3.920151
0.0,12,3.924787
0.0,23,3.997695
0.0,69,4.025889
0.0,11,4.03056
0.0,27,4.042476
0.0,31,4.055984
0.0,12,4.061443
0.0,25,4.071633
0.0,28,4.082581
0.0,15,4.089107
0.0,8,4.092631
0.0,30,4.161669
0.0,66,4.190666
0.0,79,4.225296
0.0,7,4.228277
0.0,39,4.246147
0.0,21,4.254267
0.0,61,4.334797
0.0,8,4.338892
0.0,37,4.356884
0.0,31,4.369517
0.0,13,4.374791
0.0,23,4.384121
0.0,6,4.386468
0.0,21,4.395499
0.0,12,4.400153
0.0,19,4.408821
0.0,11,4.413448
0.0,13,4.419027
0.0,35,4.491344
0.0,5,4.493613
0.0,17,4.501022
0.0,15,4.50877
0.0,7,4.512457
0.0,44,4.531705
0.0,18,4.538914
0.0,9,4.542458
0.0,23,4.551424
0.0,21,4.560181
0.0,34,4.573465
0.0,13,4.57857
0.0,46,4.65258
0.0,14,4.658864
0.0,31,4.671666
0.0,32,4.684771
0.0,42,4.702873
0.0,35,4.720991
0.0,26,4.732929
0.0,16,4.739341
0.0,10,4.743385
0.0,16,4.749775
0.0,28,4.760915
0.0,12,4.820926
0.0,27,4.83164
0.0,19,4.839478
0.0,10,4.843395
0.0,31,4.856308
0.0,22,4.865839
0.0,25,4.877364
0.0,49,4.902219
0.0,16,4.908732
0.0,12,4.913459
0.0,21,4.922089
0.0,22,4.995946
0.0,26,5.00847
0.0,33,5.023596
0.0,28,5.034873
0.0,39,5.053598
0.0,26,5.065189
0.0,32,5.078084
0.0,43,5.094982
0.0,12,5.100746
0.0,17,5.165948
0.0,11,5.171643
0.0,24,5.183004
0.0,60,5.20683
0.0,28,5.220362
0.0,10,5.224846
0.0,20,5.233405
0.0,29,5.245397
0.0,9,5.249858
0.0,33,5.265845
0.0,31,5.333812
0.0,81,5.370891
0.0,32,5.384703
0.0,26,5.397856
0.0,25,5.410144
0.0,6,5.412523
0.0,42,5.429187
0.0,22,5.438405
0.0,24,5.520142
0.0,40,5.552273
0.0,39,5.572422
0.0,31,5.586013
0.0,23,5.608364
0.0,6,5.612586
0.0,24,5.633605
0.0,21,5.654036
0.0,11,5.660808
0.0,20,5.678528
0.0,15,5.685595
0.0,7,5.689099
0.0,15,5.751467
0.0,40,5.774451
0.0,7,5.777255
0.0,56,5.82683
0.0,17,5.857865
0.0,34,5.88488
0.0,30,5.897629
0.0,7,5.900886
0.0,29,5.912719
0.0,32,5.92672
0.0,34,5.999026
0.0,28,6.012687
0.0,37,6.029231
0.0,49,6.049228
0.0,24,6.060957
0.0,16,6.067688
0.0,13,6.073703
0.0,8,6.076943
0.0,45,6.09678
0.0,53,6.177231
0.0,28,6.188937
0.0,24,6.199242
0.0,25,6.209284
0.0,64,6.234437
0.0,13,6.2398
0.0,47,6.260201
0.0,19,6.327528
0.0,9,6.331539
0.0,25,6.344275
0.0,41,6.363191
0.0,43,6.3808
0.0,25,6.390631
0.0,28,6.404203
0.0,18,6.41133
0.0,13,6.416339
0.0,50,6.492375
0.0,54,6.517812
0.0,24,6.527657
0.0,38,6.544678
0.0,21,6.555089
0.0,23,6.564647
0.0,39,6.580044
0.0,12,6.584804
0.0,11,6.589116
0.0,114,6.693637
0.0,27,6.707737
0.0,18,6.716955
0.0,12,6.721713
0.0,5,6.723751
0.0,15,6.730139
0.0,13,6.735604
0.0,41,6.751607
0.0,20,6.760355
0.0,16,6.817922
0.0,10,6.822598
0.0,19,6.829844
0.0,11,6.83464
0.0,34,6.849093
0.0,38,6.863955
0.0,21,6.873095
0.0,23,6.88302
0.0,19,6.890513
0.0,43,6.907763
0.0,14,6.913249
0.0,41,6.982563
0.0,22,6.991497
0.0,27,7.002138
0.0,17,7.009057
0.0,28,7.020436
0.0,42,7.040238
0.0,56,7.065473
0.0,19,7.075564
0.0,32,7.150246
0.0,19,7.159718
0.0,25,7.169841
0.0,24,7.180411
0.0,14,7.1864
0.0,10,7.190581
0.0,12,7.195272
1.0,42,7.212094
0.0,14,7.217669
0.0,53,7.239798
0.0,13,7.246305
0.0,27,7.316159
0.0,28,7.328796
0.0,7,7.331803
0.0,45,7.349942
0.0,36,7.364606
0.0,30,7.377092
0.0,10,7.381028
0.0,10,7.385836
0.0,16,7.392472
0.0,17,7.399429
0.0,35,7.416664
0.0,23,7.487104
0.0,18,7.49408
0.0,49,7.514068
0.0,15,7.52139
0.0,14,7.527243
0.0,19,7.536703
0.0,14,7.544877
0.0,19,7.55458
0.0,59,7.580579
0.0,16,7.587702
0.0,15,7.593676
0.0,43,7.667683
0.0,20,7.675567
0.0,58,7.69851
0.0,21,7.706639
0.0,12,7.711258
0.0,7,7.71401
0.0,41,7.730608
0.0,9,7.734118
0.0,87,7.829183
0.0,13,7.834167
0.0,17,7.841207
0.0,8,7.844575
0.0,13,7.849607
0.0,20,7.858619
0.0,15,7.86642
0.0,23,7.877145
0.0,13,7.88349
0.0,29,7.896249
0.0,16,7.902369
0.0,24,7.911574
0.0,18,7.919082
0.0,18,7.927271
0.0,10,7.988727
0.0,24,7.998172
0.0,15,8.004642
0.0,14,8.010129
0.0,20,8.019245
0.0,62,8.047112
0.0,12,8.052136
0.0,5,8.054457
0.0,9,8.057976
0.0,41,8.075619
0.0,58,8.160286
0.0,5,8.163143
0.0,28,8.176159
0.0,19,8.187341
0.0,18,8.196298
0.0,10,8.201352
0.0,10,8.206151
0.0,23,8.215759
0.0,11,8.221177
0.0,14,8.227804
0.0,13,8.234978
0.0,14,8.24226
0.0,37,8.258586
0.0,11,8.264066
0.0,14,8.269873
0.0,13,8.277457
0.0,13,8.340667
0.0,8,8.344054
0.0,5,8.346117
0.0,19,8.353885
0.0,14,8.359976
0.0,10,8.365255
0.0,41,8.38411
0.0,18,8.393674
0.0,22,8.403582
0.0,21,8.412598
0.0,27,8.42343
0.0,18,8.431382
0.0,36,8.44602
0.0,31,8.520166
0.0,26,8.53177
0.0,35,8.550479
0.0,7,8.553391
0.0,10,8.557379
0.0,16,8.56473
0.0,7,8.569032
0.0,8,8.572739
0.0,11,8.578207
0.0,13,8.585007
0.0,13,8.592018
0.0,8,8.596033
0.0,22,8.605736
0.0,9,8.609448
0.0,15,8.615415
0.0,29,8.627773
0.0,15,8.688819
0.0,14,8.695262
0.0,40,8.711231
0.0,62,8.737411
0.0,19,8.745692
0.0,25,8.755869
0.0,23,8.768785
0.0,13,8.774752
0.0,10,8.778681
0.0,12,8.784328
0.0,35,8.856174
0.0,17,8.863334
0.0,18,8.870851
0.0,21,8.879133
0.0,16,8.885759
0.0,16,8.894994
0.0,11,8.900729
0.0,56,8.923745
0.0,8,8.926879
0.0,25,8.939339
0.0,11,8.945109
0.0,13,8.950412
0.0,39,9.029233
0.0,39,9.044323
0.0,8,9.047465
0.0,9,9.051092
0.0,8,9.05423
0.0,17,9.061084
0.0,13,9.067247
0.0,18,9.075601
0.0,7,9.078702
0.0,8,9.082016
0.0,26,9.093369
0.0,16,9.099825
0.0,75,9.13225
