#{"t_start": 1544866296.0489783, "env_id": "LunarLander-v2"}
r,l,t
-86.314105,67,0.828778
-220.685826,77,0.881131
-116.28449,126,1.21331
-113.966554,93,1.274448
-66.144541,74,1.321223
-323.597112,108,1.438027
-102.528116,101,1.502931
-277.237063,160,1.653755
-114.294504,94,1.71352
-172.603842,76,1.7581
-163.799105,94,1.866992
-90.494718,84,1.91639
-144.602007,77,1.963527
-85.412868,85,2.074977
-113.911453,134,2.185847
-190.583242,197,2.381646
-250.40851,106,2.455496
-56.934369,62,2.548306
-221.582376,121,2.634863
-151.539916,91,2.691324
-55.191835,129,2.81397
-90.334598,79,2.858859
-162.218163,106,2.966383
-513.357412,185,3.093457
-213.768349,110,3.205354
-420.175479,159,3.309896
-30.962464,106,3.417596
-15.097656,115,3.484364
-276.866929,118,3.5983
-615.805513,247,3.834396
-218.93809,148,3.937366
-398.847654,225,4.144327
-243.393791,131,4.269846
-236.391433,154,4.370814
-82.311052,109,4.487982
-37.644054,117,4.565126
-58.566075,173,4.738371
-69.996878,113,4.813802
-200.746474,134,4.945205
-125.860337,152,5.044688
-250.806047,137,5.174395
-465.180186,229,5.397512
-343.124165,195,5.579405
-621.330844,122,5.653827
-416.221763,156,5.840403
-390.529905,113,5.938798
-419.639526,124,6.204557
-162.478508,243,6.450238
-89.463569,137,6.539089
-257.216132,281,6.815521
-175.35499,89,6.91751
-276.248375,147,7.016362
-169.534539,126,7.138051
-250.134606,488,7.683671
-36.219545,205,7.874609
-159.890323,220,8.082519
-152.997926,171,8.240964
-157.447257,293,8.525084
-296.016482,307,8.859742
-90.960221,245,9.092337
-54.121282,155,9.235427
-550.905753,222,9.441803
-391.175834,223,9.62534
-48.555503,135,9.778018
-274.822569,283,10.09527
21.909065,194,10.299335
-29.40203,135,10.393995
-350.025631,247,10.640422
-54.96229,187,10.824288
-162.239263,276,11.089381
-64.839651,155,11.238002
-85.639753,161,11.343451
-257.210764,136,11.476148
-146.799079,137,11.564268
-17.324746,90,11.665403
-16.854279,94,11.722914
-77.910492,89,11.82051
-59.85974,171,11.938096
-151.594046,223,12.143456
-81.800329,157,12.291173
-496.762982,225,12.522046
-216.828427,194,12.652143
-68.951034,155,12.803342
-67.653431,152,12.952812
-112.345015,175,13.077045
-25.680224,145,13.224856
4.455915,137,13.315658
-95.476058,123,13.440144
-61.398074,126,13.52336
-28.728515,178,13.694141
-7.530384,198,13.90521
-535.236855,161,14.019863
114.021328,1000,15.80174
-68.306574,259,16.034564
-38.200086,179,16.199528
-211.422403,242,16.427781
63.539783,1000,18.645051
-55.395546,222,18.852743
26.243779,216,19.052946
-16.535088,175,19.176699
-29.273468,128,19.301162
20.983989,257,19.535825
-174.33486,447,19.971051
-81.935189,296,20.305655
-44.954591,206,20.449467
-10.968077,147,20.584538
-66.757162,187,20.759221
-86.493196,208,20.953342
28.354761,233,21.11337
54.153882,191,21.284157
-82.060972,171,21.435293
5.120897,183,21.60025
-81.565366,138,21.687265
-54.516105,156,21.831176
-43.403384,128,21.920451
-85.968056,165,22.075757
-41.785466,195,22.248535
-113.796154,152,22.34616
-21.077243,205,22.531707
62.255564,188,22.704663
-30.802521,138,22.792565
-40.952636,211,22.984492
28.669986,191,23.161833
-0.675898,272,23.438584
-130.989838,425,24.035695
35.091568,1000,26.034225
144.005002,1000,28.052163
49.853194,404,28.517927
146.200587,1000,30.227532
119.43262,663,31.377746
141.087016,937,32.761098
56.85579,1000,34.241966
129.014942,1000,35.997458
123.943303,1000,37.615245
-5.539144,1000,39.502655
43.722802,1000,41.326745
-55.117556,1000,43.250151
74.638268,1000,45.477144
-13.655609,537,46.262741
19.867123,1000,48.390699
-132.278301,496,49.281579
36.511987,1000,52.545438
-85.492044,496,53.426336
4.353094,1000,56.249295
-72.691957,464,56.835519
58.501461,1000,59.287466
-113.593937,774,60.646649
17.759524,1000,63.667715
142.635921,714,64.942024
-94.991838,572,65.859858
-90.542587,516,66.532844
8.877225,1000,68.842878
-109.058136,537,69.602385
