#{"t_start": 1544997774.5308254, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,26,0.000755
0.0,25,0.001191
0.0,15,0.001462
0.0,35,0.002001
0.0,44,0.002679
0.0,35,0.003225
0.0,7,0.003398
0.0,16,0.003679
0.0,37,0.004248
0.0,83,0.005434
0.0,34,0.005968
0.0,21,0.006327
0.0,65,0.007275
0.0,39,0.007875
0.0,12,0.008106
0.0,5,0.00823
0.0,29,0.008687
0.0,10,0.008891
0.0,34,0.009414
0.0,49,0.010157
0.0,27,0.010598
0.0,37,0.011031
1.0,69,0.011833
0.0,38,0.012161
0.0,27,0.012384
0.0,47,0.012746
0.0,62,0.013211
0.0,41,0.013531
1.0,38,0.013853
0.0,46,0.014212
0.0,21,0.014391
0.0,8,0.014478
0.0,40,0.0148
1.0,40,0.015112
0.0,30,0.015392
0.0,121,0.016276
0.0,94,0.016977
0.0,27,0.017204
0.0,68,0.017729
0.0,15,0.017869
0.0,10,0.017971
0.0,42,0.018304
0.0,78,0.018901
0.0,32,0.019161
0.0,56,0.019585
0.0,29,0.01992
0.0,7,0.020068
0.0,36,0.020568
0.0,5,0.020716
0.0,14,0.020977
0.0,13,0.021206
0.0,40,0.021747
0.0,10,0.021866
0.0,15,0.022006
0.0,24,0.022208
0.0,41,0.02254
0.0,6,0.022632
0.0,18,0.022793
0.0,11,0.022901
0.0,21,0.02308
0.0,6,0.023153
0.0,50,0.023542
0.0,36,0.023829
0.0,37,0.02413
0.0,12,0.024248
0.0,19,0.024412
0.0,7,0.024508
0.0,26,0.024778
0.0,30,0.02521
0.0,7,0.025354
0.0,32,0.025681
0.0,42,0.026259
0.0,10,0.026463
0.0,33,0.026953
0.0,23,0.027312
0.0,33,0.027796
1.0,82,0.028761
0.0,9,0.028936
0.0,12,0.029135
0.0,16,0.02932
0.0,42,0.029784
0.0,22,0.0301
1.0,26,0.030458
0.0,29,0.030814
0.0,25,0.031147
0.0,7,0.031276
0.0,44,0.031812
0.0,39,0.032344
1.0,40,0.03286
0.0,28,0.033249
0.0,21,0.033479
1.0,32,0.033899
0.0,24,0.034288
0.0,56,0.03505
0.0,9,0.03525
0.0,48,0.035924
0.0,48,0.036567
0.0,11,0.036771
0.0,48,0.037436
0.0,16,0.037776
0.0,12,0.038024
0.0,55,0.038786
1.0,30,0.039217
0.0,24,0.039561
0.0,22,0.039883
0.0,24,0.040235
0.0,29,0.040668
0.0,9,0.040838
0.0,36,0.041367
0.0,39,0.04194
0.0,65,0.042842
0.0,18,0.043144
0.0,9,0.043324
0.0,41,0.04392
0.0,68,0.044855
0.0,34,0.045352
0.0,38,0.045903
0.0,48,0.046531
0.0,22,0.046889
0.0,49,0.047584
1.0,57,0.048397
0.0,28,0.048834
0.0,51,0.049465
0.0,17,0.049752
0.0,15,0.049986
0.0,21,0.050225
0.0,11,0.050384
0.0,19,0.050639
0.0,38,0.051175
0.0,15,0.051435
0.0,27,0.051828
0.0,21,0.052154
0.0,29,0.052576
0.0,9,0.052746
0.0,49,0.053408
1.0,30,0.053827
0.0,40,0.054371
0.0,35,0.054873
1.0,47,0.055505
0.0,19,0.055789
0.0,39,0.056324
0.0,43,0.056907
0.0,10,0.057093
0.0,64,0.057951
0.0,29,0.058364
0.0,44,0.058991
0.0,68,0.059971
0.0,11,0.060189
0.0,9,0.060372
0.0,14,0.060629
0.0,22,0.060991
0.0,24,0.061384
0.0,49,0.062083
0.0,12,0.062317
0.0,22,0.062691
0.0,48,0.063362
0.0,111,0.064722
0.0,9,0.064917
1.0,73,0.065892
0.0,23,0.066263
0.0,48,0.06689
0.0,27,0.067313
0.0,23,0.067653
0.0,13,0.067876
0.0,39,0.068418
0.0,50,0.069026
0.0,33,0.069514
1.0,32,0.069868
0.0,73,0.070813
0.0,36,0.071291
0.0,72,0.072185
0.0,36,0.072643
0.0,66,0.073187
0.0,6,0.073263
0.0,21,0.073447
0.0,49,0.07381
0.0,16,0.073943
0.0,28,0.074159
0.0,23,0.074341
0.0,26,0.074546
0.0,29,0.074781
0.0,49,0.075167
0.0,68,0.075742
1.0,111,0.076557
0.0,42,0.07687
0.0,16,0.077006
0.0,19,0.077164
1.0,92,0.077817
0.0,15,0.077944
0.0,33,0.078193
0.0,10,0.078285
0.0,10,0.078376
0.0,29,0.07861
0.0,93,0.079325
0.0,51,0.079704
0.0,48,0.080058
0.0,85,0.080663
0.0,76,0.081209
0.0,17,0.081351
0.0,19,0.081505
0.0,13,0.081617
0.0,20,0.081777
0.0,22,0.081951
0.0,81,0.082525
0.0,9,0.082618
0.0,51,0.083011
0.0,19,0.083167
0.0,59,0.083591
0.0,25,0.083786
0.0,14,0.083905
0.0,102,0.084628
0.0,16,0.084761
0.0,15,0.084886
0.0,23,0.085066
0.0,79,0.085639
0.0,17,0.085801
0.0,24,0.08599
0.0,76,0.08653
1.0,80,0.087104
0.0,14,0.087224
0.0,26,0.087423
0.0,26,0.087626
0.0,52,0.088022
0.0,38,0.088308
0.0,25,0.088507
0.0,34,0.088761
0.0,11,0.08886
0.0,47,0.089203
1.0,58,0.089618
0.0,39,0.089906
0.0,23,0.090088
0.0,40,0.090385
0.0,23,0.090571
0.0,27,0.09078
1.0,45,0.091115
0.0,17,0.091255
0.0,11,0.091353
0.0,19,0.091509
0.0,14,0.091629
0.0,53,0.092016
0.0,13,0.092138
0.0,6,0.092203
0.0,37,0.092479
0.0,61,0.09293
0.0,37,0.093222
0.0,8,0.093304
0.0,45,0.093642
0.0,31,0.093877
0.0,32,0.094119
0.0,5,0.094177
0.0,14,0.094296
0.0,7,0.094368
0.0,17,0.094509
1.0,110,0.095293
0.0,7,0.095366
0.0,5,0.095423
0.0,19,0.095577
0.0,51,0.09595
0.0,22,0.096126
0.0,54,0.096515
0.0,35,0.096775
0.0,12,0.096881
0.0,14,0.097001
0.0,62,0.09745
0.0,15,0.097576
0.0,8,0.097654
0.0,31,0.097889
0.0,55,0.098286
0.0,7,0.098356
1.0,60,0.098795
0.0,30,0.099027
0.0,29,0.09925
0.0,5,0.099308
0.0,28,0.099523
0.0,41,0.099838
0.0,34,0.100094
0.0,29,0.100329
0.0,36,0.100604
1.0,142,0.101597
0.0,9,0.101684
0.0,32,0.101928
0.0,60,0.102367
0.0,44,0.102699
0.0,62,0.103148
0.0,14,0.103267
0.0,30,0.103496
0.0,46,0.103833
0.0,28,0.104051
0.0,9,0.104136
0.0,10,0.104228
0.0,29,0.104447
0.0,25,0.104642
0.0,37,0.104919
0.0,10,0.105011
0.0,39,0.1053
0.0,65,0.105768
0.0,18,0.105916
0.0,58,0.106371
0.0,49,0.106762
0.0,24,0.106956
0.0,47,0.107302
0.0,33,0.107551
0.0,25,0.107744
0.0,6,0.107808
1.0,82,0.108388
0.0,26,0.108591
0.0,17,0.10873
0.0,38,0.109016
0.0,28,0.109231
0.0,5,0.109288
0.0,21,0.109454
0.0,26,0.109654
0.0,24,0.109843
0.0,44,0.110167
0.0,16,0.1103
0.0,36,0.110573
0.0,7,0.110646
0.0,45,0.110977
1.0,61,0.111415
0.0,21,0.111584
0.0,59,0.11201
0.0,21,0.112176
0.0,34,0.112432
0.0,25,0.112629
0.0,39,0.112931
0.0,60,0.113373
0.0,51,0.113754
1.0,50,0.114117
0.0,22,0.114292
0.0,37,0.114571
0.0,48,0.114925
0.0,8,0.115005
1.0,50,0.115367
0.0,27,0.115575
0.0,29,0.115795
0.0,18,0.115945
0.0,51,0.116318
0.0,23,0.116501
0.0,7,0.116572
0.0,33,0.116825
0.0,14,0.116946
0.0,22,0.117119
0.0,114,0.117918
0.0,52,0.118295
1.0,37,0.118574
0.0,23,0.118756
0.0,43,0.119191
1.0,69,0.119727
1.0,41,0.120056
1.0,42,0.120377
0.0,5,0.120436
0.0,18,0.120586
0.0,7,0.120657
0.0,28,0.120877
0.0,16,0.121011
1.0,44,0.121346
1.0,36,0.121621
0.0,71,0.122131
0.0,13,0.122261
0.0,20,0.122426
0.0,33,0.122682
0.0,25,0.122883
0.0,47,0.123229
0.0,86,0.123847
0.0,75,0.124389
0.0,24,0.124578
0.0,39,0.124872
0.0,50,0.125245
0.0,15,0.125372
0.0,27,0.125583
0.0,91,0.126235
0.0,13,0.126349
0.0,60,0.126797
0.0,90,0.127485
0.0,52,0.127876
0.0,9,0.127962
0.0,80,0.128537
0.0,70,0.129037
0.0,41,0.129347
1.0,132,0.130288
0.0,49,0.130657
0.0,27,0.13087
0.0,7,0.130942
0.0,14,0.131061
0.0,26,0.131268
0.0,10,0.131361
0.0,14,0.131481
0.0,25,0.131681
0.0,42,0.131997
0.0,7,0.132069
0.0,50,0.132435
0.0,63,0.132896
0.0,11,0.132996
0.0,85,0.133611
0.0,47,0.133963
1.0,25,0.134174
0.0,54,0.134593
0.0,63,0.135055
0.0,13,0.13517
0.0,35,0.135435
0.0,8,0.135514
