#{"t_start": 1544913525.1111975, "env_id": "LunarLander-v2"}
r,l,t
-345.919924,88,1.378366
-83.062989,87,1.43728
-334.165633,101,1.534916
-125.934519,82,1.623836
-516.057746,123,1.719272
-188.823438,88,1.775862
-40.630753,60,1.810143
-269.490342,76,1.861909
-192.456949,84,1.916748
-314.726354,76,1.9753
-383.029522,127,2.08118
-65.38048,71,2.561471
-79.933222,61,2.597451
-315.680468,122,2.667012
-79.250598,77,2.710587
-128.486335,103,2.767554
-80.537811,73,2.811426
-111.725123,77,2.855112
-134.32482,93,2.909612
-10.14226,124,2.984175
-137.430927,66,3.023521
-126.70447,71,3.065548
-118.37138,61,3.102295
-299.923441,90,3.234227
-111.498649,109,3.29415
-132.99746,72,3.335989
-48.546732,101,3.394657
-54.971552,62,3.429781
-408.161685,102,3.490258
-92.718373,81,3.537221
-143.629806,73,3.580086
-369.330289,74,3.624264
-82.079415,84,3.67419
-171.963163,95,3.730332
-109.04522,77,3.773271
-104.997714,76,3.888576
-114.327606,56,3.919296
-108.005224,63,3.953729
-161.801797,106,4.01172
-75.28916,89,4.06111
-237.708889,95,4.114519
-104.670597,105,4.174463
-125.250329,72,4.214107
-82.710684,62,4.248214
-141.065709,78,4.294284
-222.713963,138,4.376451
-245.945193,136,4.457751
-142.830383,122,4.596578
1.903929,81,4.642777
-134.407773,98,4.699522
-80.977072,110,4.761911
-110.803449,79,4.805217
-120.360885,68,4.843308
-89.513365,82,4.889472
-91.663095,91,4.940105
-129.940383,111,5.001695
-86.366249,74,5.041953
-192.719308,106,5.105919
-149.532183,130,5.255098
-87.970013,111,5.387028
-115.988243,100,5.443118
-91.02334,119,5.62308
-130.550479,105,5.686147
-122.26119,130,5.762468
-182.294972,76,5.804785
-128.487208,116,5.87419
50.664163,67,5.912494
-275.272091,85,6.043422
-109.363305,87,6.09444
3.749363,128,6.172676
-118.975803,88,6.222966
-96.358896,83,6.273388
-100.892788,72,6.312959
-76.33093,66,6.350924
-96.942347,72,6.389359
-56.490412,81,6.438228
-177.654505,107,6.503392
-75.330948,66,6.543323
-98.169045,71,6.583904
-104.651651,101,6.719366
-111.16837,82,6.768464
-83.714244,62,6.804749
19.434471,115,6.877488
-140.237238,79,6.921973
-93.067454,85,6.971296
-238.983344,134,7.056343
-93.64173,85,7.111793
-170.528561,115,7.185769
-106.678783,104,7.25808
-172.583791,117,7.328839
-140.37501,101,7.45924
-171.455691,125,7.535581
-185.745888,109,7.604925
-77.146629,103,7.66748
-55.460151,65,7.705751
-83.971256,64,7.74412
-318.010163,131,7.837281
-259.27311,113,7.907042
-131.071135,111,7.976434
-124.19502,119,8.055226
-101.647266,93,8.199379
-91.08088,123,8.2787
-89.925249,84,8.329072
-157.976341,100,8.393026
-112.703525,116,8.463463
-133.636169,87,8.5268
-70.533858,71,8.573829
-109.093232,110,8.648861
-80.797114,64,8.688602
-80.393357,89,8.751073
-107.262538,74,8.791492
-102.131057,137,8.953535
-99.481217,55,8.983788
-113.543719,88,9.034496
-104.761795,76,9.082214
-98.298195,90,9.131415
-141.737659,75,9.174194
-53.424455,64,9.208657
-84.669166,103,9.268249
-83.637792,71,9.315392
-64.670919,70,9.356781
-122.456217,96,9.414402
-81.663506,80,9.466777
-75.14485,59,9.505018
-85.966109,119,9.668636
-125.245107,89,9.721685
-85.183485,69,9.759832
-147.602068,71,9.803486
-83.412191,86,9.850186
-101.267105,71,9.888959
-75.195275,81,9.933904
-99.278172,108,9.994305
-131.053698,114,10.057647
-119.295614,80,10.101337
-52.328476,130,10.17185
-93.77375,106,10.318615
-86.791263,77,10.365313
-86.647178,75,10.409681
-137.492091,88,10.462909
-91.72675,67,10.501484
-56.431802,66,10.538779
-85.829797,64,10.576102
-24.737907,66,10.614663
-41.19608,126,10.691464
-116.378013,83,10.744183
-118.68308,79,10.790001
-79.341649,111,10.855844
-90.114336,87,10.979179
-86.429817,82,11.029395
-81.544606,107,11.090023
-76.913879,117,11.156331
-107.998589,96,11.212323
-52.770488,105,11.276382
-32.669597,62,11.312761
-98.785212,90,11.366346
-70.560581,93,11.419282
-153.574305,74,11.465348
-57.472422,96,11.558937
-48.670153,65,11.689377
-70.112787,87,11.739844
-75.682207,105,11.801667
-52.371053,115,11.875908
-80.520313,85,11.927668
-92.262119,74,11.970873
-60.94675,95,12.029028
-68.166768,100,12.089394
