#{"t_start": 1544904786.4205003, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,40,10.585305
0.0,15,10.599873
0.0,34,10.632441
0.0,61,10.682938
0.0,25,10.707275
0.0,23,10.727723
0.0,87,10.801495
0.0,14,10.813539
0.0,47,10.852719
0.0,38,10.882145
0.0,16,10.898538
0.0,47,10.937197
0.0,14,10.950928
0.0,30,10.976883
0.0,47,11.042072
0.0,38,11.078778
0.0,53,11.12308
0.0,123,11.237605
0.0,15,11.250674
0.0,22,11.271158
0.0,13,11.281102
0.0,40,11.316138
0.0,30,11.342168
0.0,89,11.418106
0.0,50,11.461526
0.0,7,11.476853
0.0,25,11.499789
0.0,26,11.522934
0.0,25,11.549351
0.0,55,11.605234
0.0,73,11.671111
0.0,26,11.694273
0.0,77,11.762838
0.0,25,11.78335
0.0,26,11.80222
0.0,27,11.825006
0.0,16,11.839915
0.0,43,11.870617
0.0,96,11.959336
0.0,18,11.97374
0.0,10,11.983187
0.0,19,12.003618
0.0,6,12.010032
0.0,51,12.073598
0.0,13,12.087847
0.0,32,12.123256
0.0,5,12.127043
0.0,78,12.192078
0.0,22,12.220379
0.0,50,12.260444
0.0,19,12.274016
0.0,46,12.319617
0.0,21,12.339411
0.0,24,12.35911
0.0,19,12.375369
0.0,10,12.38444
0.0,10,12.396853
0.0,34,12.451329
0.0,51,12.492693
0.0,72,12.56166
0.0,13,12.571572
0.0,15,12.583455
0.0,15,12.595382
0.0,16,12.612315
0.0,21,12.633133
0.0,100,12.72482
0.0,39,12.762293
0.0,16,12.776355
0.0,28,12.8007
0.0,13,12.813088
0.0,28,12.837725
0.0,31,12.869966
0.0,24,12.894636
0.0,41,12.928553
0.0,14,12.93782
0.0,40,12.968558
0.0,25,12.988106
0.0,21,13.004378
0.0,39,13.042829
0.0,56,13.093102
0.0,18,13.108532
0.0,17,13.128866
0.0,7,13.134464
0.0,23,13.155239
0.0,16,13.169823
0.0,108,13.279915
0.0,63,13.340342
0.0,9,13.349447
0.0,12,13.365376
0.0,7,13.372442
0.0,8,13.378693
0.0,26,13.40014
0.0,11,13.411807
0.0,15,13.429854
0.0,24,13.453777
0.0,11,13.467964
0.0,65,13.530803
0.0,30,13.562818
0.0,68,13.629606
0.0,20,13.647897
0.0,18,13.666186
0.0,20,13.691337
0.0,56,13.7629
0.0,36,13.820878
0.0,50,13.875031
0.0,7,13.883769
0.0,39,13.919473
0.0,11,13.92947
0.0,19,13.943875
0.0,52,13.996895
0.0,26,14.022364
0.0,18,14.03689
0.0,25,14.057586
0.0,20,14.073568
0.0,6,14.080733
0.0,14,14.094123
0.0,41,14.153528
0.0,24,14.188892
0.0,37,14.230896
0.0,97,14.366325
0.0,11,14.38187
0.0,39,14.421115
0.0,60,14.470049
0.0,64,14.524545
0.0,15,14.543628
0.0,17,14.556736
0.0,17,14.568654
0.0,27,14.590316
0.0,7,14.597772
0.0,47,14.643776
0.0,38,14.680228
0.0,26,14.698814
0.0,108,14.803804
0.0,14,14.815928
0.0,56,14.87883
0.0,67,14.940422
0.0,30,14.961535
0.0,9,14.968396
0.0,11,14.976579
0.0,28,14.999073
0.0,63,15.05725
0.0,64,15.111685
0.0,24,15.133827
0.0,48,15.17085
0.0,7,15.177192
0.0,19,15.193327
0.0,56,15.238395
0.0,12,15.253015
0.0,12,15.262387
0.0,32,15.284286
0.0,72,15.341486
0.0,35,15.366326
0.0,50,15.403938
0.0,15,15.416087
0.0,11,15.426595
0.0,29,15.451624
0.0,30,15.473552
0.0,51,15.516864
0.0,22,15.535235
0.0,23,15.557427
0.0,15,15.569033
0.0,26,15.587722
0.0,19,15.601465
0.0,17,15.613502
0.0,63,15.662868
0.0,13,15.675798
0.0,54,15.719272
0.0,51,15.764114
0.0,78,15.832094
0.0,21,15.847478
0.0,29,15.875103
0.0,71,15.9251
0.0,12,15.933137
0.0,19,15.948096
0.0,40,15.978966
0.0,47,16.020148
0.0,47,16.060516
0.0,36,16.097371
0.0,8,16.104017
0.0,37,16.130046
0.0,8,16.136359
0.0,22,16.153248
0.0,23,16.175075
0.0,15,16.18846
0.0,102,16.273542
0.0,16,16.286675
0.0,17,16.301726
0.0,18,16.314629
0.0,28,16.342422
0.0,15,16.353875
0.0,88,16.452206
0.0,18,16.46585
0.0,29,16.489503
0.0,30,16.514641
0.0,13,16.531453
0.0,44,16.566197
0.0,28,16.592646
0.0,32,16.622565
0.0,43,16.662029
0.0,40,16.695535
0.0,30,16.717046
0.0,31,16.741045
0.0,8,16.748863
0.0,16,16.762975
0.0,37,16.792582
0.0,14,16.802471
0.0,15,16.821897
0.0,22,16.841518
0.0,84,16.904595
0.0,11,16.914958
0.0,14,16.925316
