#{"t_start": 1545189051.6088412, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,45,1.631444
0.0,31,1.65031
0.0,25,1.668996
0.0,78,1.723915
0.0,33,1.76324
0.0,18,1.787834
0.0,52,1.862026
0.0,14,1.88091
0.0,9,1.893758
0.0,19,1.91959
0.0,30,1.948304
0.0,46,1.982163
0.0,41,2.008679
0.0,20,2.026335
0.0,51,2.058806
0.0,18,2.071401
0.0,28,2.092755
0.0,65,2.141186
0.0,59,2.18585
0.0,38,2.21287
0.0,53,2.250965
0.0,6,2.254672
0.0,44,2.282559
0.0,33,2.306368
0.0,8,2.312578
0.0,34,2.337792
0.0,24,2.352795
0.0,30,2.37348
0.0,30,2.393385
0.0,17,2.405921
0.0,50,2.931555
0.0,63,2.9763
0.0,24,2.990978
0.0,15,3.000281
0.0,12,3.00807
0.0,24,3.02268
0.0,20,3.036943
0.0,17,3.049376
0.0,13,3.059461
0.0,33,3.078539
0.0,75,3.128574
0.0,23,3.143556
0.0,11,3.150373
0.0,20,3.164449
0.0,14,3.175583
0.0,43,3.203068
0.0,5,3.20699
0.0,46,3.242203
0.0,81,3.295198
0.0,15,3.30607
0.0,19,3.320454
0.0,15,3.331603
0.0,25,3.35053
0.0,25,3.369719
0.0,7,3.375428
0.0,34,3.397829
0.0,11,3.406049
0.0,19,3.416888
0.0,69,3.46684
0.0,40,3.496761
0.0,33,3.54172
0.0,23,3.57431
0.0,25,3.598423
0.0,27,3.614933
0.0,20,3.626644
0.0,9,3.632238
0.0,13,3.640943
0.0,34,3.813281
0.0,19,3.824317
0.0,9,3.829532
0.0,18,3.841709
0.0,33,3.86473
0.0,23,3.879779
0.0,31,3.898685
0.0,21,3.912049
0.0,17,3.92211
0.0,17,3.932295
0.0,30,3.95103
0.0,40,3.975155
0.0,16,3.982235
0.0,24,3.993171
0.0,17,4.001089
0.0,7,4.004233
0.0,17,4.011579
0.0,39,4.02833
0.0,49,4.053965
0.0,64,4.096541
0.0,7,4.100662
0.0,13,4.108458
0.0,24,4.123652
0.0,23,4.138215
0.0,25,4.153121
0.0,44,4.186989
0.0,9,4.192969
0.0,16,4.205189
0.0,7,4.210581
0.0,33,4.233802
0.0,29,4.260613
0.0,20,4.288668
0.0,19,4.315053
0.0,51,4.388401
0.0,76,4.460731
0.0,12,4.469774
0.0,45,4.501627
0.0,20,4.51429
0.0,39,4.538212
0.0,8,4.543124
0.0,13,4.694464
0.0,27,4.713212
0.0,43,4.744821
0.0,32,4.767815
0.0,11,4.776403
0.0,40,4.801022
0.0,18,4.81298
0.0,17,4.825909
0.0,43,4.858518
0.0,10,4.867522
0.0,23,4.898573
0.0,15,4.924392
0.0,35,4.990225
0.0,6,5.001549
0.0,14,5.024812
0.0,28,5.049997
0.0,45,5.120564
0.0,77,5.262756
0.0,32,5.319679
0.0,18,5.352243
0.0,24,5.395362
0.0,16,5.422932
0.0,15,5.449446
0.0,29,5.501071
0.0,22,5.537733
0.0,112,5.637471
0.0,14,5.647586
0.0,57,5.691025
0.0,9,5.697777
0.0,10,5.705958
0.0,61,5.747797
0.0,40,5.776514
0.0,34,5.798436
0.0,63,5.99511
0.0,17,6.004578
0.0,9,6.01013
0.0,52,6.048414
0.0,29,6.069857
0.0,30,6.092789
0.0,17,6.105084
0.0,5,6.109043
0.0,41,6.137426
0.0,16,6.147839
0.0,37,6.17549
0.0,5,6.179321
0.0,20,6.192728
